px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
66.2363	23.978	2.81483	0.144037	-0.0883255	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655	1.8937
66.1533	23.9316	2.66119	0.115562	-0.118011	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655	2.87115
68.3858	24.3503	2.39442	0.125951	-0.0493615	68.262	24.3582	68.4273	24.4824	2.30293	0.385623	2.85092
68.4487	24.3778	2.46734	0.140906	-0.0365303	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623	1.35937
70.8276	24.8675	2.46334	0.198182	0.018543	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395	0.16004
70.7896	24.8523	2.39596	0.188204	0.0088302	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395	0.545537
72.9701	24.7731	2.22621	-0.0445481	-0.131102	72.8923	24.7135	72.9675	25.025	2.13584	0.150292	2.26822
72.9973	24.7846	2.2502	-0.0404177	-0.128068	73.0732	25.0343	72.9675	25.025	2.13584	0.150292	0.319615
75.0498	25.1975	2.11089	0.152575	0.0526888	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626	2.35547
75.0332	25.1914	2.09175	0.14772	0.0489835	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626	0.0883572
77.1272	24.9867	2.08765	-0.102351	-0.119381	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978	1.52966
77.1231	24.9704	2.03364	-0.130648	-0.149898	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978	0.819901
79.1039	24.9911	2.00601	-0.0422446	-0.0172937	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607	0.977724
79.1006	24.9894	1.98031	-0.0500953	-0.0260233	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607	0.183075
80.8669	24.8696	1.85335	-0.0816319	-0.0304556	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536	0.605607
80.8847	24.8719	1.82226	-0.0935163	-0.0472171	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536	1.19452
82.6307	24.6414	1.80452	-0.153239	-0.0544457	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012	0.0159202
82.6059	24.6288	1.75823	-0.174568	-0.0743001	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012	0.299939
84.205	24.5185	1.66173	-0.107085	1.62234e-05	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444	0.567591
84.2071	24.5186	1.65842	-0.108285	-0.00159193	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444	0.020342
85.6856	23.867	1.60222	-0.418796	-0.166929	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006	1.77046
85.7252	23.8814	1.63445	-0.403059	-0.156288	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006	0.588096
87.0044	23.4708	1.44034	-0.403076	-0.081259	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654	1.48705
87.0903	23.4997	1.47861	-0.366997	-0.0633782	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654	3.42487
88.7199	22.8149	1.71832	-0.417936	-0.0523002	88.8227	22.7869	88.4904	22.9745	1.23248	-0.450514	2.02206
88.6663	22.7935	1.66799	-0.462886	-0.0863576	88.4191	22.9498	88.4904	22.9745	1.23248	-0.450514	0.799533
89.6502	22.2476	1.29361	-0.550992	-0.099317	89.4967	22.3082	89.7145	22.5017	1.15138	-0.468904	4.8747
89.6711	22.254	1.29379	-0.548167	-0.10242	89.7821	22.4826	89.7145	22.5017	1.15138	-0.468904	0.38351
90.5646	21.6416	1.15928	-0.649132	-0.10537	90.5133	21.6677	90.858	22.0141	1.07929	-0.481241	0.60788
90.644	21.6693	1.22355	-0.572775	-0.0504675	90.8419	22.0974	90.858	22.0141	1.07929	-0.481241	1.75919
91.6989	21.0978	1.2252	-0.520228	0.00167458	91.7178	21.1152	91.9302	21.5174	1.01698	-0.488964	0.17274
91.7604	21.1156	1.24629	-0.48727	0.0148734	92.0492	21.5289	91.9302	21.5174	1.01698	-0.488964	1.84545
92.8626	20.8945	1.14446	-0.223712	0.136604	92.8599	20.9537	92.9411	21.016	0.964993	-0.493443	1.06135
92.9196	20.9156	1.14143	-0.198406	0.142203	93.3186	21.0712	92.9411	21.016	0.964993	-0.493443	2.49182
